budget,popularity,revenue,runtime,tagline,title,vote_average,vote_count
237000000,150.437577,2787965087,162,Enter the World of Pandora.,Avatar,7.2,11800
300000000,139.082615,961000000,169,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,6.9,4500
245000000,107.376788,880674609,148,A Plan No One Escapes,Spectre,6.3,4466
250000000,112.31295,1084939099,165,The Legend Ends,The Dark Knight Rises,7.6,9106
260000000,43.926995,284139100,132,"Lost in our world, found in another.",John Carter,6.1,2124
258000000,115.699814,890871626,139,The battle within.,Spider-Man 3,5.9,3576
260000000,48.681969,591794936,100,They're taking adventure to new lengths.,Tangled,7.4,3330
280000000,134.279229,1405403694,141,A New Age Has Come.,Avengers: Age of Ultron,7.3,6767
250000000,98.885637,933959197,153,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,5293
250000000,155.790452,873260194,151,Justice or revenge,Batman v Superman: Dawn of Justice,5.7,7004
270000000,57.925623,391081192,154,,Superman Returns,5.4,1400
200000000,107.928811,586090727,106,"For love, for hate, for justice, for revenge.",Quantum of Solace,6.1,2965
200000000,145.847379,1065659812,151,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7,5246
255000000,49.046956,89289910,149,Never Take Off the Mask,The Lone Ranger,5.9,2311
225000000,99.398009,662845518,143,You will believe that a man can fly.,Man of Steel,6.5,6359
225000000,53.978602,419651413,150,Hope has a new face.,The Chronicles of Narnia: Prince Caspian,6.3,1630
220000000,144.448633,1519557910,143,Some assembly required.,The Avengers,7.4,11776
380000000,135.413856,1045713802,136,Live Forever Or Die Trying.,Pirates of the Caribbean: On Stranger Tides,6.4,4948
225000000,52.035179,624026776,106,They are back... in time.,Men in Black 3,6.2,4160
250000000,120.965743,956019788,144,Witness the defining chapter of the Middle-Earth saga,The Hobbit: The Battle of the Five Armies,7.1,4760
215000000,89.866276,752215857,136,The untold story begins.,The Amazing Spider-Man,6.5,6586
200000000,37.668301,310669540,140,"Rise and rise again, until lambs become lions.",Robin Hood,6.2,1398
250000000,94.370564,958400000,161,Beyond darkness... beyond desolation... lies the greatest danger of all.,The Hobbit: The Desolation of Smaug,7.6,4524
180000000,42.990906,372234864,113,There are worlds beyond our own - the compass will show the way.,The Golden Compass,5.8,1303
207000000,61.22601,550000000,187,The eighth wonder of the world.,King Kong,6.6,2337
200000000,100.025899,1845034188,194,Nothing on Earth could come between them.,Titanic,7.5,7562
250000000,198.372395,1153304495,147,Divided We Fall,Captain America: Civil War,7.1,7241
209000000,64.928382,303025485,131,The Battle for Earth Begins at Sea,Battleship,5.5,2114
150000000,418.708552,1513528810,124,The park is open.,Jurassic World,6.5,8662
200000000,93.004993,1108561013,143,Think on your sins.,Skyfall,6.9,7604
200000000,35.149586,783766341,127,There's a hero in all of us.,Spider-Man 2,6.7,4321
200000000,77.68208,1215439994,130,Unleash the power behind the armor.,Iron Man 3,6.8,8806
200000000,78.530105,1025491110,108,You're invited to a very important date.,Alice in Wonderland,6.4,4645
210000000,3.857526,459359555,104,Take a Stand,X-Men: The Last Stand,6.3,3525
200000000,89.186492,743559607,104,School never looked this scary.,Monsters University,7,3528
150000000,21.939663,836297228,150,Revenge is coming.,Transformers: Revenge of the Fallen,6,3138
210000000,116.840296,1091405097,165,This is not war. It's extinction.,Transformers: Age of Extinction,5.8,3095
200000000,46.985445,491868548,130,"In Oz, nothing is what it seems",Oz: The Great and Powerful,5.7,3530
200000000,89.270217,705717432,142,No more secrets.,The Amazing Spider-Man 2,6.5,4179
170000000,73.79505,400062763,125,The Game Has Changed.,TRON: Legacy,6.3,2841
200000000,49.98659,559852396,106,Ka-ciao!,Cars 2,5.8,2033
200000000,51.872839,219851172,114,"In our darkest hour, there will be light.",Green Lantern,5.1,2487
200000000,59.995418,1066969703,103,No toy gets left behind.,Toy Story 3,7.6,4597
200000000,71.862892,371353001,115,The End Begins.,Terminator Salvation,5.9,2463
190000000,102.322217,1506249360,137,Vengeance Hits Home,Furious 7,7.3,4176
200000000,81.834855,531865000,116,Remember Philly!,World War Z,6.7,5560
250000000,118.078691,747862775,131,"To save the future, they must alter the past",X-Men: Days of Future Past,7.5,6032
190000000,78.291018,467365246,132,Earth Will Fall,Star Trek Into Darkness,7.4,4418
195000000,43.349855,197687603,114,Prepare for a giant adventure,Jack the Giant Slayer,5.5,2598
105000000,61.196071,351040419,143,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,The Great Gatsby,7.3,3769
150000000,62.169881,335154643,116,Defy the Future,Prince of Persia: The Sands of Time,6.2,2317
180000000,56.523205,407602906,131,"To Fight Monsters, We Created Monsters",Pacific Rim,6.7,4794
195000000,28.529607,1123746996,154,The invasion we always feared. An enemy we never expected.,Transformers: Dark of the Moon,6.1,3299
185000000,75.674458,786636033,122,The adventure continues . . .,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495
175000000,51.692953,331926147,93,Little Arms With Big Attitude,The Good Dinosaur,6.6,1736
185000000,125.114374,538983207,93,Change your fate.,Brave,6.7,4641
185000000,65.352913,343471816,122,,Star Trek Beyond,6.6,2568
180000000,66.390712,521311860,98,An adventure beyond the ordinar-E.,WALL·E,7.8,6296
140000000,22.57178,258022233,91,The Rush Is On!,Rush Hour 3,6.1,783
200000000,45.274225,769653595,158,We Were Warned.,2012,5.6,4903
200000000,39.744242,325233863,96,Season's Greedings,A Christmas Carol,6.6,1095
176000003,85.36908,183987723,124,Expand your universe.,Jupiter Ascending,5.2,2768
180000000,42.741719,356743061,109,Human. Nature.,The Legend of Tarzan,5.5,2430
180000000,67.391328,748806957,143,Evil Has Reigned For 100 Years...,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629
178000000,139.272042,543934787,144,Only the strong will survive,X-Men: Apocalypse,6.4,4721
185000000,187.322927,1004558444,152,Why So Serious?,The Dark Knight,8.2,12002
175000000,92.201962,735099082,96,,Up,7.7,6870
175000000,36.167578,381509870,94,"When aliens attack, monsters fight back.",Monsters vs Aliens,6,1423
140000000,120.725053,585174222,126,Heroes aren't born. They're built.,Iron Man,7.4,8776
170000000,32.319043,185770160,126,One of the most legendary directors of our time takes you on an extraordinary adventure.,Hugo,7,2141
170000000,40.748915,222104681,106,It's a whole new west.,Wild Wild West,5.1,1020
145000000,60.034162,401128639,112,A New Evil Awakens.,The Mummy: Tomb of the Dragon Emperor,5.2,1387
175000000,90.23792,745000000,123,Worst Heroes Ever,Suicide Squad,5.9,7458
175000000,27.082182,173000000,96,A comedy of biblical proportions,Evan Almighty,5.3,1151
178000000,79.456485,370541256,113,"Live, Die, Repeat",Edge of Tomorrow,7.6,4858
175000000,44.640292,264218220,135,Beyond the horizon lies the secret to a new beginning.,Waterworld,5.9,992
175000000,32.852443,302469017,118,"When all else fails, they don't.",G.I. Joe: The Rise of Cobra,5.6,1962
175000000,128.655964,857611174,94,Meet the little voices inside your head.,Inside Out,8,6560
175000000,94.199316,966550600,106,,The Jungle Book,6.7,2892
200000000,77.300194,623933331,124,"It's not the armor that makes the hero, but the man inside.",Iron Man 2,6.6,6849
170000000,77.178973,396600000,127,The Fairytale is Over,Snow White and the Huntsman,5.8,3118
180000000,110.620647,758539785,97,Don't believe the fairy tale.,Maleficent,7,4496
170000000,243.791743,710644566,130,One last chance for peace.,Dawn of the Planet of the Apes,7.3,4410
27000000,2.418535,0,109,Love is longer than life.,The Lovers,4.8,34
175000000,41.796339,150962475,119,For courage. For loyalty. For honor.,47 Ronin,5.9,1326
170000000,72.225265,714766572,136,In heroes we trust.,Captain America: The Winter Soldier,7.6,5764
